Ticker,Company,Exchange,Industry,Env_Grade,Env_Level,Social_Grade,Social_Level,Gov_Grade,Gov_Level,Env_Score,Social_Score,Gov_Score,Total_Score,Date,Total_Grade,Total_Level,ESG_Category,Env_Norm,Social_Norm,Gov_Norm,Weighted_ESG_Score,ESG_Rank
aehr,Aehr Test Systems,NASDAQ NMS - GLOBAL MARKET,Semiconductors,B,Medium,B,Medium,BB,Medium,290,262,300,852,2022-04-16,BB,Medium, Average,17.341040462427745,20.118343195266274,56.25,28.04,477
aehl,Antelope Enterprise Holdings Ltd,NASDAQ NMS - GLOBAL MARKET,Building,B,Medium,B,Medium,BB,Medium,238,237,325,800,2022-06-10,BB,Medium, Average,7.321772639691715,15.187376725838265,62.5,23.87,521
aei,Alset Ehome International Inc,NASDAQ NMS - GLOBAL MARKET,Real Estate,A,High,B,Medium,B,Medium,520,207,210,937,2022-04-20,BBB,High, Average,61.657032755298644,9.270216962524655,33.75,36.34,414
aeis,Advanced Energy Industries Inc,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-16,BBB,High, Leader,57.80346820809249,27.613412228796847,56.25,46.85,297
aep,American Electric Power Company Inc,NASDAQ NMS - GLOBAL MARKET,Utilities,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-20,BBB,High, Leader,57.80346820809249,27.613412228796847,56.25,46.85,297
aemd,Aethlon Medical Inc,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,BB,Medium,200,262,315,777,2022-04-16,BB,Medium,Laggard,0.0,20.118343195266274,60.0,22.04,530
aese,Allied Esports Entertainment Inc,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,B,Medium,B,Medium,B,Medium,200,200,200,600,2022-06-10,B,Medium,Laggard,0.0,7.889546351084813,31.25,10.57,718
aeye,AudioEye Inc,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,BB,Medium,BB,Medium,235,301,308,844,2022-04-16,BB,Medium, Average,6.74373795761079,27.810650887573964,58.25,26.99,488
aeri,Aerie Pharmaceuticals Inc,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,A,High,B,Medium,BB,Medium,500,264,310,1074,2022-04-16,BBB,High, Average,57.80346820809249,20.51282051282051,58.75,44.99,339
aey,ADDvantage Technologies Group Inc,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,B,Medium,B,Medium,BB,Medium,235,234,300,769,2022-04-16,BB,Medium,Laggard,6.74373795761079,14.595660749506903,56.25,21.87,535
afaq,AF Acquisition Corp,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,B,Medium,200,200,200,600,2022-06-21,B,Medium,Laggard,0.0,7.889546351084813,31.25,10.57,718
afmd,Affimed NV,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BB,Medium,BB,Medium,BB,Medium,368,304,310,982,2022-04-16,BBB,High, Average,32.369942196531795,28.402366863905325,58.75,37.58,402
afcg,AFC Gamma Inc,NASDAQ NMS - GLOBAL MARKET,Real Estate,B,Medium,B,Medium,B,Medium,255,204,226,685,2022-06-10,B,Medium,Laggard,10.597302504816955,8.678500986193294,37.75,16.71,615
afbi,Affinity Bancshares Inc,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,B,Medium,B,Medium,200,207,200,607,2022-06-10,B,Medium,Laggard,0.0,9.270216962524655,31.25,11.06,709
afrm,Affirm Holdings Inc,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,BB,Medium,BB,Medium,225,335,335,895,2022-06-10,BB,Medium, Average,4.8169556840077075,34.51676528599605,65.0,30.26,464
afib,Acutus Medical Inc,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,205,211,235,651,2022-06-10,B,Medium,Laggard,0.9633911368015413,10.059171597633137,40.0,13.91,658
agen,Agenus Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,290,245,300,835,2022-04-16,BB,Medium, Average,17.341040462427745,16.765285996055226,56.25,26.87,490
afya,Afya Ltd,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,B,Medium,B,Medium,B,Medium,290,203,205,698,2022-06-10,B,Medium,Laggard,17.341040462427745,8.481262327416173,32.5,18.03,598
agfs,AgroFresh Solutions Inc,NASDAQ NMS - GLOBAL MARKET,Chemicals,A,High,BB,Medium,B,Medium,500,301,275,1076,2022-04-16,BBB,High, Average,57.80346820809249,27.810650887573964,50.0,45.36,334
agfy,Agrify Corp,NASDAQ NMS - GLOBAL MARKET,Machinery,A,High,BB,Medium,BB,Medium,540,361,305,1206,2022-06-10,A,High, Leader,65.51059730250482,39.64497041420118,57.49999999999999,54.45,76
agil,AgileThought Inc,NASDAQ NMS - GLOBAL MARKET,Technology,BB,Medium,B,Medium,BB,Medium,340,299,305,944,2022-06-11,BBB,High, Average,26.97495183044316,27.416173570019726,57.49999999999999,34.76,429
agmh,AGM Group Holdings Inc,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,205,204,210,619,2022-06-10,B,Medium,Laggard,0.9633911368015413,8.678500986193294,33.75,11.86,696
agio,Agios Pharmaceuticals Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,520,303,325,1148,2022-04-16,BBB,High, Leader,61.657032755298644,28.205128205128204,62.5,50.16,175
agle,Aeglea Bio Therapeutics Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,205,223,200,628,2022-09-16,B,Medium,Laggard,0.9633911368015413,12.42603550295858,31.25,12.55,683
agnc,AGNC Investment Corp,NASDAQ NMS - GLOBAL MARKET,Real Estate,BB,Medium,B,Medium,BB,Medium,382,242,305,929,2022-04-16,BBB,High, Average,35.067437379576106,16.173570019723865,57.49999999999999,34.06,435
agri,AgriFORCE Growing Systems Ltd,NASDAQ NMS - GLOBAL MARKET,Food Products,A,High,B,Medium,BB,Medium,510,248,305,1063,2022-06-11,BBB,High, Average,59.73025048169557,17.357001972386588,57.49999999999999,44.34,348
agrx,Agile Therapeutics Inc,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,B,Medium,240,203,260,703,2022-04-16,B,Medium,Laggard,7.7071290944123305,8.481262327416173,46.25,17.61,602
agys,Agilysys Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,500,303,300,1103,2022-04-16,BBB,High, Leader,57.80346820809249,28.205128205128204,56.25,47.06,277
agtc,Applied Genetic Technologies Corp,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,BB,Medium,235,323,305,863,2022-04-16,BB,Medium, Average,6.74373795761079,32.149901380670606,57.49999999999999,28.32,476
ahco,Adapthealth Corp,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,210,211,235,656,2022-06-10,B,Medium,Laggard,1.9267822736030826,10.059171597633137,40.0,14.29,651
ahpi,Allied Healthcare Products Inc,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,BB,Medium,210,228,325,763,2022-04-16,BB,Medium,Laggard,1.9267822736030826,13.41222879684418,62.5,21.09,552
aib,AIB Acquisition Corp,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,BB,Medium,215,227,300,742,2022-05-24,B,Medium,Laggard,2.8901734104046244,13.214990138067062,56.25,19.84,572
adtn,ADTRAN Inc,NASDAQ NMS - GLOBAL MARKET,Communications,A,High,BB,Medium,BB,Medium,510,308,300,1118,2022-04-16,BBB,High, Leader,59.73025048169557,29.191321499013807,56.25,48.17,246
adn,Advent Technologies Holdings Inc,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,B,Medium,B,Medium,B,Medium,250,203,220,673,2022-04-20,B,Medium,Laggard,9.633911368015415,8.481262327416173,36.25,15.88,626
aiki,Aikido Pharma Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,200,235,205,640,2022-06-10,B,Medium,Laggard,0.0,14.792899408284024,32.5,13.3,667
akic,Sports Ventures Acquisition Corp,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,B,Medium,200,205,230,635,2022-06-11,B,Medium,Laggard,0.0,8.875739644970414,38.75,12.79,677
aip,Arteris Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,B,Medium,BB,Medium,500,286,300,1086,2022-06-07,BBB,High, Average,57.80346820809249,24.85207100591716,56.25,45.88,326
akro,Akero Therapeutics Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,250,246,305,801,2022-06-10,BB,Medium, Average,9.633911368015415,16.962524654832347,57.49999999999999,24.17,518
airt,Air T Inc,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,B,Medium,B,Medium,BB,Medium,234,210,325,769,2022-04-16,BB,Medium,Laggard,6.551059730250482,9.861932938856016,62.5,21.7,542
aimc,Altra Industrial Motion Corp,NASDAQ NMS - GLOBAL MARKET,Machinery,A,High,BB,Medium,BB,Medium,525,315,305,1145,2022-04-16,BBB,High, Leader,62.6204238921002,30.57199211045365,57.49999999999999,50.12,176
akba,Akebia Therapeutics Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,200,218,215,633,2022-04-16,B,Medium,Laggard,0.0,11.439842209072978,35.0,12.75,678
airg,Airgain Inc,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,A,High,BB,Medium,BB,Medium,500,300,330,1130,2022-04-16,BBB,High, Leader,57.80346820809249,27.613412228796847,63.74999999999999,48.72,228
airs,Airsculpt Technologies Inc,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,210,201,205,616,2022-06-11,B,Medium,Laggard,1.9267822736030826,8.086785009861932,32.5,11.73,698
akam,Akamai Technologies Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,515,341,305,1161,2022-04-16,BBB,High, Leader,60.69364161849711,35.700197238658774,57.49999999999999,51.15,145
aku,Akumin Inc,NASDAQ NMS - GLOBAL MARKET,Health Care,BBB,High,BB,Medium,BB,Medium,455,347,300,1102,2022-04-21,BBB,High, Leader,49.13294797687861,36.883629191321496,56.25,46.62,316
akus,Akouos Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,205,221,295,721,2022-06-10,B,Medium,Laggard,0.9633911368015413,12.03155818540434,55.00000000000001,18.35,592
akts,Akoustis Technologies Inc,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,B,Medium,BB,Medium,BBB,High,222,302,428,952,2022-04-16,BBB,High, Average,4.238921001926782,28.007889546351084,88.25,33.56,440
aktx,Akari Therapeutics PLC,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,BB,Medium,225,216,305,746,2022-04-16,B,Medium,Laggard,4.8169556840077075,11.045364891518737,57.49999999999999,20.17,567
albo,Albireo Pharma Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,500,300,310,1110,2022-06-10,BBB,High, Leader,57.80346820809249,27.613412228796847,58.75,47.47,267
akya,Akoya Biosciences Inc,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,A,High,BB,Medium,B,Medium,512,303,215,1030,2022-06-10,BBB,High, Average,60.115606936416185,28.205128205128204,35.0,42.67,365
alco,Alico Inc,NASDAQ NMS - GLOBAL MARKET,Food Products,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-16,BBB,High, Leader,57.80346820809249,27.613412228796847,56.25,46.85,297
aldx,Aldeyra Therapeutics Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,231,261,235,727,2022-04-16,B,Medium,Laggard,5.973025048169557,19.92110453648915,40.0,19.36,580
